epoch,acc,loss,val_acc,val_loss
0,0.14474966758848817,5.8899713834450145,0.17473273009688364,5.631335773468428
1,0.18532250538747858,5.288745771676896,0.18606831233016677,5.493023438535719
2,0.19470607673535134,5.14651314683514,0.1910058394197319,5.4423953691491
3,0.19994597872616435,5.0591021526804045,0.19336826037036697,5.411345343904417
4,0.20363677858759377,4.993103716723829,0.19472109971736887,5.3982905377931925
5,0.20658556475881742,4.938383929153499,0.19556807137641016,5.3915999269396
6,0.20913051825772516,4.8901566534162,0.19615551325786573,5.386319697673318
7,0.2116260887912482,4.846679447235792,0.19609951513194604,5.3888544983851645
8,0.2141983875304659,4.807157121303106,0.1963119311005263,5.392935428866224
9,0.216426159311008,4.774469831171452,0.19636496778795332,5.390893132234845
